hypothesis_id,parent_id,statement,counter_hypothesis,porter_pillar,mechanism,scope,comparison_plan,support_criteria,challenge_criteria,status,classification,created_at,updated_at
H-MAIN-001,,"O Brasil possui vantagens competitivas específicas em determinadas dimensões ou setores de IA, mesmo sem apresentar liderança ampla em todo o ecossistema.","O desempenho brasileiro é explicado por seu tamanho e seus recursos, sem diferenciação competitiva relevante.","síntese","Diferenciações em fatores, demanda ou setores de apoio produzem resultados e captura de valor acima dos pares.","Ecossistema brasileiro de IA; conclusão derivada das hipóteses filhas.","Síntese dos grupos usados pelas hipóteses filhas.","Pelo menos uma dimensão apresenta diferenciação, conversão em resultados e captura de valor acima dos pares.","Nenhuma dimensão apresenta resultados além do esperado ou as supostas vantagens permanecem apenas como insumos.","scoped",,2026-07-27,2026-07-27
H-BASE-001,H-MAIN-001,"O desempenho do Brasil no painel mult fonte de IA é superior ao esperado entre economias emergentes de tamanho e renda semelhantes.","O desempenho é igual ou inferior ao esperado depois de controlar diferenças estruturais e considerar amplitude e presença na fronteira.","baseline","Os recursos e as capacidades do ecossistema elevam resultados observados em diferentes dimensões além do explicado por escala econômica e populacional.","Painel mult fonte com Stanford HAI para amplitude, Epoch AI para presença na fronteira e fontes complementares para dimensões não cobertas.","Fronteira tecnológica, América Latina e pares estruturais a definir antes da coleta.","Resultado brasileiro acima dos pares em múltiplas dimensões, robusto a normalizações, pesos e triangulação entre fontes compatíveis.","A posição desaparece com normalização, depende de uma única dimensão ou fonte, ou fica abaixo dos pares.","scoped",,2026-07-27,2026-07-27
H-RD-001,H-MAIN-001,"A intensidade, a composição ou a instabilidade do investimento brasileiro em P&D limita resultados competitivos em IA.","O Brasil converte investimento relativamente limitado em resultados acima do esperado, indicando eficiência com restrição de escala.","condições dos fatores","Volume, composição empresarial e continuidade do financiamento condicionam pesquisadores, infraestrutura, pesquisa e produtos.","Investimento nacional e empresarial em P&D, geral e específico para IA quando disponível.","Fronteira tecnológica, economias emergentes e países de renda ou PIB semelhantes.","Investimento relativo inferior ou instável acompanhado por resultados inferiores e mecanismo de restrição observável.","Resultados proporcionais ou superiores ao investimento, ou ausência de associação consistente entre o investimento e o gargalo alegado.","scoped",,2026-07-27,2026-07-27
H-SCI-001,H-MAIN-001,"Após normalização por recursos e escala, a produção científica brasileira em IA apresenta volume, impacto ou liderança inferior aos pares.","O Brasil possui eficiência ou especializações científicas em IA acima do esperado, apesar de desempenho agregado modesto.","condições dos fatores","Financiamento, formação, colaboração e acesso a infraestrutura afetam a quantidade, o impacto e a liderança da pesquisa em IA.","Produção científica especificamente relacionada à IA; ciência brasileira geral será apenas contexto.","Fronteira científica, emergentes, América Latina e países com sistemas de pesquisa comparáveis.","Volume, impacto ou liderança normalizados persistentemente abaixo dos pares e sem especialização compensatória.","Desempenho normalizado comparável ou superior, liderança regional ou especializações com impacto acima do esperado.","scoped",,2026-07-27,2026-07-27
H-INFRA-001,H-MAIN-001,"A capacidade, a adequação ou a acessibilidade da infraestrutura computacional brasileira limita o desenvolvimento competitivo de IA.","A infraestrutura brasileira é competitiva regionalmente e pode constituir vantagem emergente, embora distante da fronteira global.","condições dos fatores","Compute adequado e acessível permite treinamento, experimentação, pesquisa e desenvolvimento local de produtos.","Infraestrutura pública e privada disponível para pesquisa e desenvolvimento de IA no Brasil.","Fronteira de compute, América Latina e emergentes com dados comparáveis.","Capacidade ou acesso por usuário abaixo dos pares, arquitetura inadequada, filas, custos ou dependência externa material.","Capacidade e acesso competitivos entre pares, uso produtivo demonstrado ou liderança regional com trajetória de expansão.","scoped",,2026-07-27,2026-07-27
H-DEMAND-001,H-MAIN-001,"O tamanho e a diversidade da demanda brasileira favorecem o desenvolvimento, o teste e a escala de aplicações de IA.","O tamanho do mercado não se converte em vantagem por baixa adoção, menor poder de compra ou captura do valor por fornecedores estrangeiros.","condições da demanda","Escala de usuários, digitalização e problemas locais criam demanda sofisticada e oportunidades de aprendizado para soluções de IA.","Adoção e demanda por IA no mercado brasileiro, incluindo setores públicos e privados.","Emergentes de grande população, América Latina e mercados de renda comparável.","Adoção ou escala acima dos pares ligada ao desenvolvimento local e a resultados observáveis.","Demanda atendida principalmente por importações, baixa adoção ou ausência de desenvolvimento e captura local.","scoped",,2026-07-27,2026-07-27
H-SECTOR-001,H-MAIN-001,"Setores em que o Brasil possui capacidades produtivas e institucionais relevantes permitem aplicações de IA competitivas internacionalmente.","A força econômica dos setores não se converte em capacidade tecnológica local e as soluções relevantes são majoritariamente importadas.","setores relacionados e de apoio","Conhecimento de domínio, dados, demanda, empresas e instituições existentes reduzem barreiras para criar aplicações diferenciadas.","Aplicações verticais candidatas em agronegócio, finanças, energia, saúde, setor público, biodiversidade e clima.","Líderes setoriais internacionais e países com estrutura produtiva comparável para cada setor.","Produtos, empresas, pesquisa aplicada ou exportações diferenciadas com participação e captura local.","Pouca atividade local, dependência de fornecedores externos ou resultados proporcionais apenas ao tamanho do setor.","scoped",,2026-07-27,2026-07-27
H-CONV-001,H-MAIN-001,"O principal gargalo brasileiro está na conexão entre pesquisa, infraestrutura, capital e demanda e sua conversão em empresas, produtos, produtividade e valor local.","O Brasil converte recursos em aplicações de forma comparável aos pares, mas a escala inicial dos recursos limita os resultados absolutos.","estratégia, estrutura e rivalidade","Falhas nas transições entre insumos, pesquisa, desenvolvimento, adoção e escala impedem que capacidades existentes gerem valor doméstico.","Cadeia de conversão do ecossistema brasileiro de IA e suas transições mensuráveis.","Pares estruturais e casos setoriais com disponibilidade de indicadores de entrada e saída.","Insumos relativamente fortes coexistem com saídas e captura fracas em transições identificáveis.","Eficiência de conversão comparável ou superior aos pares, com resultados limitados principalmente pelo volume inicial de recursos.","scoped",,2026-07-27,2026-07-27
H-SECTOR-FIN-001,H-SECTOR-001,"A escala digital, os dados transacionais e a sofisticação do sistema financeiro brasileiro permitem que instituições como Nubank e Itaú desenvolvam e capturem valor com capacidades próprias de IA.","Essas instituições apenas adotam tecnologias amplamente disponíveis de fornecedores globais; seus resultados refletem escala financeira e digitalização, não uma vantagem brasileira diferenciada em IA.","condições da demanda; setores relacionados e de apoio","Grandes bases de clientes, pagamentos digitais, dados históricos, regulação e rivalidade bancária criam aprendizado local em crédito, fraude, atendimento e personalização.","Estudo de casos Nubank e Itaú, sem presumir representatividade de todo o setor financeiro.","Bancos digitais e incumbentes comparáveis em América Latina, emergentes e mercados financeiros digitalizados.","Evidência de desenvolvimento técnico local, modelos ou infraestrutura próprios, resultados operacionais atribuíveis, difusão externa e captura de valor acima de comparadores.","Dependência predominante de modelos e cloud externos, ausência de efeito mensurável, ganhos explicados por digitalização genérica ou falta de captura local.","scoped",,2026-07-30,2026-07-30
H-SECTOR-LEGAL-001,H-SECTOR-001,"A escala, a complexidade e a disponibilidade de dados do sistema jurídico brasileiro criam condições para plataformas locais como Jusbrasil desenvolverem aplicações de IA diferenciadas.","A complexidade jurídica gera demanda, mas não vantagem: soluções locais permanecem pouco escaláveis, dependentes de modelos externos ou restritas ao mercado doméstico sem produtividade e captura de valor demonstráveis.","condições da demanda; setores relacionados e de apoio","O grande volume de processos, a linguagem jurídica local e acervos documentais criam dados, conhecimento de domínio e demanda para busca, análise e automação jurídica.","Estudo de caso Jusbrasil e seu ecossistema, distinguindo produto jurídico, infraestrutura de modelos e conteúdo de terceiros.","Legaltechs internacionais e mercados com sistemas judiciais digitalizados, ajustados por tamanho e acessibilidade dos dados.","Produto tecnicamente diferenciado, adoção e resultados mensuráveis, propriedade intelectual ou dados defensáveis, expansão e captura local de valor.","Uso superficial de APIs externas, pouca evidência de produtividade, vantagem limitada ao acesso a conteúdo ou impossibilidade de escalar além do contexto brasileiro.","scoped",,2026-07-30,2026-07-30
