indicator_id,hypothesis_id,baseline_inclusion,name,role,expected_direction,normalization,comparison_group,period,source_id,status,notes
BASE-AGGREGATE,H-BASE-001,true,"Pontuação agregada no Global AI Vibrancy Tool","output","higher_supports","valor bruto e análise de sensibilidade dos pesos","a definir","2017-2024","stanford2025vibrancy","proposed","O agregado é baseline, não veredito."
BASE-PILLARS,H-BASE-001,true,"Pontuação por pilar do Global AI Vibrancy Tool","output","higher_supports","valor bruto e posição dentro do grupo","a definir","2017-2024","stanford2025vibrancy","proposed","Evita esconder forças e fraquezas no índice agregado."
BASE-GDP,H-BASE-001,true,"Desempenho em IA relativo ao PIB","context","higher_supports","pontuação ou indicador por PIB e resíduo de modelo simples","a definir","a definir",,"proposed","A especificação será congelada antes do teste."
BASE-POP,H-BASE-001,true,"Desempenho em IA relativo à população","context","higher_supports","pontuação ou indicador per capita","a definir","a definir",,"proposed","Usar junto de valores absolutos."
BASE-TREND,H-BASE-001,true,"Evolução temporal da posição brasileira","output","upward_supports","variação anual e tendência por pilar","a definir","2017-2024","stanford2025vibrancy","proposed","Não inferir tendência com apenas dois pontos."
INFRA-EPOCH-DATACENTERS,H-INFRA-001,true,"Capacidade de grandes data centers de IA por país","input","higher_challenges_constraint","capacidade operacional separada de capacidade anunciada ou em construção","fronteira tecnológica, América Latina e pares com cobertura","a definir","epoch2026datacenters","proposed","Ausência no dataset não prova ausência de infraestrutura."
INFRA-EPOCH-GPUCLUSTERS,H-INFRA-001,true,"Capacidade de GPU clusters e supercomputadores relevantes para IA","input","higher_challenges_constraint","capacidade, aceleradores e estado operacional; valores absolutos e por pesquisador quando possível","fronteira tecnológica, América Latina e pares com cobertura","a definir","epoch2026gpuclusters","proposed","HPC genérico não equivale automaticamente a compute para IA."
SECTOR-FIN-LOCAL-RD,H-SECTOR-FIN-001,false,"Desenvolvimento local de IA em instituições financeiras","mechanism","presence_supports","equipes, publicações, patentes, modelos próprios, infraestrutura e fornecedores; evidência auditável","Nubank e Itaú versus instituições financeiras comparáveis","2019-2026",,"proposed","Uso de IA ou anúncio corporativo sozinho não comprova capacidade própria."
SECTOR-FIN-OUTCOMES,H-SECTOR-FIN-001,false,"Resultados operacionais associados a IA financeira","output","higher_supports","fraude, crédito, custo de atendimento, produtividade e qualidade com baseline e atribuição explícitos","instituições financeiras comparáveis","2019-2026",,"proposed","Separar efeito de IA de digitalização, escala, seleção de clientes e mudanças macroeconômicas."
SECTOR-LEGAL-CAPABILITY,H-SECTOR-LEGAL-001,false,"Capacidade e diferenciação de IA jurídica local","mechanism","presence_supports","dados, modelos, avaliações, propriedade técnica, adoção e resultados documentados","Jusbrasil versus legaltechs e mercados jurídicos comparáveis","2019-2026",,"proposed","Acesso a grande acervo jurídico não implica automaticamente vantagem em IA."
SECTOR-LEGAL-OUTCOMES,H-SECTOR-LEGAL-001,false,"Produtividade, qualidade e captura de valor em legal AI","output","higher_supports","tempo, precisão, adoção paga, retenção, expansão e receita quando disponíveis","legaltechs comparáveis","2019-2026",,"proposed","Exigir métricas verificáveis e registrar indisponibilidade de dados privados."
CONV-MARITACA-TECH,H-CONV-MARITACA-001,false,"Desempenho técnico e custo de modelos locais em português","output","higher_supports","benchmarks brasileiros congelados, custo, latência, contexto, segurança e análise de contaminação","modelos globais em português e produtores linguísticos comparáveis","2023-2026",,"proposed","Distinguir treinamento próprio, fine-tuning e simples revenda de API."
