hypothesis_id,classification,claim,evidence,limitation
H-BASE-001,challenged,O baseline brasileiro é superior ao esperado entre pares.,Quatro famílias não mostram superioridade robusta: fronteira e conversão desafiam; ciência desafia; infraestrutura é mista.,"Painel contemporâneo selecionado, sem score agregado e sem inferência causal."
H-RD-001,mixed,P&D limita os resultados competitivos em IA.,"Dispêndio em P&D de 1.19% do PIB (2023), posição 9/16: acima dos pares latino-americanos observados, abaixo da fronteira e de Turquia.","P&D geral, anos de referência desiguais e sem composição pública/empresarial específica para IA."
H-SCI-001,inconclusive,A ciência brasileira em IA fica abaixo dos pares após normalização.,"Presença de 0,0640% e posição 10/16 nas sete conferências selecionadas desafiam liderança ampla.","Conferências selecionadas não medem toda a ciência, citações, liderança, especializações nem eficiência por pesquisador."
H-INFRA-001,mixed,Infraestrutura computacional limita o desenvolvimento competitivo.,"Brasil tem 10 sistemas e 143,12 PFlop/s Rmax no TOP500 de jun. 2026, posição intermediária no painel.","HPC nominal não equivale a aceleradores adequados, acesso, custo ou uso produtivo em IA."
H-DEMAND-001,inconclusive,Escala e diversidade da demanda favorecem aplicações brasileiras.,"População de 212,8 milhões e casos financeiros/jurídicos estabelecem escala e mecanismos plausíveis.","Não há comparação congelada de adoção, sofisticação, origem do fornecedor e captura local de valor."
H-SECTOR-FIN-001,candidate,Finanças convertem escala e dados locais em capacidade própria de IA.,Nubank declara nuFormer em crédito e Itaú documenta produtos generativos integrados a dados e modelos proprietários.,Declarações corporativas e resultados sem contrafactual internacional não provam vantagem nacional.
H-SECTOR-LEGAL-001,candidate,Dados e complexidade jurídica sustentam IA local diferenciada.,"Jus IA combina acervo jurídico local e produto especializado, com métricas de uso declaradas.","Benchmark disponível é ligado ao fornecedor; faltam comparação independente, produtividade e captura financeira."
H-CONV-MARITACA-001,candidate,Especialização em português converte pesquisa local em modelos e valor.,A Maritaca desenvolve modelos em português e a relação com Jusbrasil mostra um caminho de modelo para aplicação vertical.,"Faltam auditoria independente contemporânea, adoção comparável, receita, dependências e exportação."
H-CONV-001,inconclusive,O gargalo central está na conversão de insumos em produtos e valor local.,"P&D e HPC intermediários coexistem com resultados modestos em outras dimensões, mas a evidência não separa escala inicial, adequação e acesso aos recursos e conexão entre as etapas da cadeia.",As fontes têm universos distintos e não identificam causalmente as transições nem um gargalo principal.
H-MAIN-001,inconclusive,O Brasil possui vantagens competitivas específicas em IA.,"Há mecanismos e casos candidatos em finanças, jurídico e português, mas nenhuma vantagem completa passou os critérios de diferenciação, resultado e captura.",Conclusão válida para a evidência congelada; não equivale a afirmar ausência de capacidade ou oportunidade.
