indicator,pillar,source_2025,availability_2025,availability_2026,comparability,decision,reason
"AI Publications (Total)","R&D","AI Index","no","no","unavailable","remove","Os dados públicos contemporâneos ainda terminam em 2023."
"AI Citations (Total)","R&D","AI Index","no","no","unavailable","remove","Não há uma tabela pública contemporânea que reproduza o total nacional."
"AI Patent Grants","R&D","AI Index/PATSTAT","no","no","unavailable","remove","Os dados públicos terminam em 2023 e a reconstrução exige PATSTAT e o classificador do AI Index."
"Notable AI Models","R&D","Epoch AI","yes","ytd","exact","include","A taxonomia, a data de publicação e o país da organização permanecem disponíveis."
"Academia-Industry Model Production Concentration","R&D","Epoch AI","yes","ytd","exact","include","Pode ser derivado do mesmo universo de modelos e da categoria da organização."
"AI GitHub Projects","R&D","GitHub/AI Index","no","no","not_reproducible","remove","O classificador do AI Index não está especificado o suficiente para uma nova coleta equivalente."
"AI GitHub Projects Stars","R&D","GitHub/AI Index","no","no","not_reproducible","remove","Além da classificação, não é possível recuperar fielmente um snapshot histórico de estrelas."
"Accepted Conference Papers on RAI Topics (Total)","Responsible AI","AI Index/OpenAlex","yes","ytd","validation_failed","defer","A adaptação para trabalhos aceitos/publicados foi preservada, mas o classificador falhou o gate cego; excluir do baseline inicial e de comparações por país."
"Total AI Private Investment","Economy","AI Index/Quid","yes","no","exact_aggregate","include","O AI Index 2026 publica a medida nacional de 2025 com a mesma fonte e conceito."
"Newly Funded AI Companies","Economy","AI Index/Quid","yes","no","exact_aggregate","include","O AI Index 2026 publica a medida nacional de 2025."
"Relative AI Skill Penetration","Talent","LinkedIn","no","no","proprietary","remove","A amostra, o skill genome e os controles ocupacionais são proprietários."
"AI Hiring Rate YoY Ratio","Talent","LinkedIn","no","no","proprietary","remove","Exige séries mensais internas do LinkedIn."
"AI Talent Concentration","Talent","LinkedIn","no","no","proprietary","remove","Depende da cobertura e das classificações proprietárias do LinkedIn."
"AI Job Postings (% of Total)","Talent","Lightcast","no","no","proprietary","remove","O denominador, a deduplicação e a taxonomia de skills não são públicos."
"Net Migration Flow of AI Skills","Talent","LinkedIn/World Bank","no","no","proprietary","remove","Movimentos de localização e a classificação de talento dependem do LinkedIn."
"AI Legislation Passed (3-Year MA)","Policy and Governance","AI Index/Digital Policy Alert","no","no","method_changed","remove","O relatório de 2026 mudou a fonte e restringiu a cobertura aos G20."
"AI Mentions in Legislative Proceedings","Policy and Governance","AI Index","no","no","not_packaged","remove","A atualização exigiria repetir buscas multilíngues não empacotadas em 75 países."
"AI Social Media Posts","Public Opinion","Quid","no","no","proprietary","remove","Consulta, cobertura e classificação não são públicas."
"AI-Related Social Media Conversations Net Sentiment","Public Opinion","Quid","no","no","proprietary","remove","A taxonomia de sentimento e o universo de posts não são públicos."
"Parts Semiconductor Devices Exports","Infrastructure","CEPII BACI","no","no","lagged","remove_for_now","Ainda não há ano completo de 2025 comparável."
"Supercomputers","Infrastructure","TOP500","yes","snapshot","exact_snapshot","include","Há listas de junho e novembro de 2025 e de junho de 2026."
"Compute Capacity (Rmax)","Infrastructure","TOP500","yes","snapshot","exact_snapshot","include","Pode ser agregado diretamente das listas contemporâneas."
"Internet Speed","Infrastructure","Ookla","yes","ytd","available_but_out_of_scope","remove_by_design","Removido por decisão analítica; conectividade geral não é central para a pergunta do estudo."
"Accepted Papers at Selected AI Conferences","R&D","OpenAlex","yes","ytd","study_extension","include","Indicador adicional definido pelo estudo, com venues e regras de atribuição congelados antes da análise por país."
